epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1164.21,1.09236,0.8386,1.32665,0.55254,0.6986,0.73724,0.41811,1.41118,1.28463,1.73399,0.000244902,0.000244902,0.000244902
148,1172.27,1.12319,0.8776,1.35554,0.84032,0.64689,0.7756,0.4528,1.36129,1.197,1.70468,0.000241689,0.000241689,0.000241689
149,1180.22,1.13219,0.88366,1.37583,0.57761,0.70669,0.76739,0.44797,1.27459,1.1067,1.6229,0.000238476,0.000238476,0.000238476
150,1188.19,1.13359,0.8629,1.36286,0.66173,0.74401,0.79982,0.44715,1.35879,1.01566,1.67691,0.000235263,0.000235263,0.000235263
151,1196.24,1.11301,0.85454,1.33102,0.54778,0.6924,0.69542,0.43024,1.27279,1.24677,1.63048,0.00023205,0.00023205,0.00023205
152,1204.23,1.12692,0.89775,1.36903,0.54091,0.79783,0.74672,0.45504,1.31866,1.1319,1.66485,0.000228837,0.000228837,0.000228837
153,1212.24,1.12307,0.87863,1.36128,0.57749,0.76643,0.77054,0.44951,1.30878,1.03095,1.65873,0.000225624,0.000225624,0.000225624
154,1220.32,1.10443,0.852,1.3422,0.54495,0.73814,0.73281,0.45431,1.26832,1.17578,1.63927,0.000222411,0.000222411,0.000222411
155,1228.36,1.10118,0.85557,1.33221,0.70316,0.65337,0.81055,0.44989,1.4096,0.99512,1.73461,0.000219198,0.000219198,0.000219198
156,1236.44,1.10469,0.86786,1.34466,0.63471,0.58466,0.7167,0.41799,1.36675,1.17791,1.71145,0.000215985,0.000215985,0.000215985
157,1244.4,1.11091,0.85744,1.34946,0.58535,0.65466,0.7385,0.41602,1.31884,1.01978,1.64433,0.000212772,0.000212772,0.000212772
158,1252.41,1.086,0.84291,1.33147,0.69586,0.73453,0.78812,0.48509,1.306,1.09644,1.65802,0.000209559,0.000209559,0.000209559
159,1260.34,1.10874,0.86342,1.34131,0.58861,0.75856,0.74977,0.45179,1.38576,1.14712,1.71275,0.000206346,0.000206346,0.000206346
160,1268.33,1.10902,0.86155,1.3381,0.8304,0.66289,0.77832,0.45226,1.3592,1.06004,1.71963,0.000203133,0.000203133,0.000203133
161,1276.41,1.10973,0.86189,1.34718,0.53153,0.85016,0.76413,0.4555,1.3522,1.13747,1.69725,0.00019992,0.00019992,0.00019992
162,1284.39,1.09858,0.85022,1.33943,0.52873,0.78865,0.72668,0.44538,1.34815,1.13044,1.70508,0.000196707,0.000196707,0.000196707
163,1292.32,1.09032,0.838,1.32602,0.62256,0.69641,0.77782,0.43327,1.32075,1.16123,1.71844,0.000193494,0.000193494,0.000193494
164,1300.3,1.09148,0.82143,1.3224,0.49407,0.79501,0.74207,0.43561,1.2419,1.11561,1.62447,0.000190281,0.000190281,0.000190281
165,1308.3,1.07869,0.82522,1.31743,0.52732,0.78141,0.7088,0.45085,1.21935,1.29032,1.60093,0.000187068,0.000187068,0.000187068
166,1316.39,1.08814,0.83876,1.34225,0.61779,0.74841,0.77008,0.44511,1.35415,1.23307,1.67479,0.000183855,0.000183855,0.000183855
167,1324.33,1.09851,0.85262,1.33512,0.56396,0.78534,0.7702,0.44418,1.36018,1.12141,1.68931,0.000180642,0.000180642,0.000180642
168,1332.29,1.09143,0.83758,1.33895,0.5953,0.64379,0.71038,0.40042,1.36787,1.27052,1.72152,0.000177429,0.000177429,0.000177429
169,1340.39,1.09084,0.82771,1.33121,0.78777,0.72637,0.77456,0.45374,1.35487,1.22603,1.677,0.000174216,0.000174216,0.000174216
170,1348.33,1.11967,0.86601,1.34176,0.60355,0.80512,0.78347,0.4482,1.25656,1.16595,1.63305,0.000171003,0.000171003,0.000171003
171,1356.21,1.08768,0.8422,1.32249,0.53272,0.79846,0.74017,0.46081,1.27102,1.17967,1.63621,0.00016779,0.00016779,0.00016779
172,1364.25,1.08928,0.83948,1.32509,0.8591,0.60804,0.75575,0.45427,1.21353,1.02608,1.57805,0.000164577,0.000164577,0.000164577
173,1372.32,1.10739,0.84643,1.34073,0.80475,0.65565,0.7608,0.4369,1.27553,1.20209,1.63234,0.000161364,0.000161364,0.000161364
174,1380.28,1.08698,0.8425,1.33516,0.67662,0.65255,0.74843,0.44979,1.30755,1.24143,1.63987,0.000158151,0.000158151,0.000158151
175,1388.29,1.07782,0.81104,1.32565,0.71824,0.61208,0.72935,0.4548,1.27478,1.11602,1.58496,0.000154938,0.000154938,0.000154938
176,1396.37,1.06624,0.81403,1.32381,0.64021,0.66921,0.7368,0.46297,1.31439,1.19713,1.66929,0.000151725,0.000151725,0.000151725
177,1404.35,1.08487,0.83361,1.3287,0.79341,0.6636,0.76224,0.45442,1.37464,1.05251,1.67214,0.000148512,0.000148512,0.000148512
178,1412.31,1.0695,0.8242,1.31115,0.66221,0.6239,0.73993,0.45173,1.31945,1.18707,1.6905,0.000145299,0.000145299,0.000145299
179,1420.33,1.06592,0.81413,1.31583,0.70426,0.64489,0.75477,0.46298,1.28351,1.13935,1.60694,0.000142086,0.000142086,0.000142086
180,1428.26,1.07982,0.81518,1.32706,0.61047,0.72112,0.75294,0.47151,1.23724,1.10879,1.57062,0.000138873,0.000138873,0.000138873
